Year,Month,Count
2018년,1월,1791
2018년,2월,1527
2018년,3월,3789
2018년,4월,10334
2018년,5월,38652
2018년,6월,33651
2018년,7월,18033
2018년,8월,21039
2018년,9월,18476
2018년,10월,40889
2018년,11월,17699
2018년,12월,3936
2019년,1월,3778
2019년,2월,4435
2019년,3월,6810
2019년,4월,18475
2019년,5월,27266
2019년,6월,19027
2019년,7월,18560
2019년,8월,25598
2019년,9월,18225
2019년,10월,41252
2019년,11월,17547
2019년,12월,4652
2020년,1월,5070
2020년,2월,1825
2020년,3월,0
2020년,4월,2416
2020년,5월,14273
2020년,6월,6646
2020년,7월,8092
2020년,8월,12099
2020년,9월,6800
2020년,10월,24952
2020년,11월,10084
2020년,12월,2065
2021년,1월,1250
2021년,2월,2934
2021년,3월,2210
2021년,4월,8984
2021년,5월,15916
2021년,6월,9822
2021년,7월,8415
2021년,8월,14021
2021년,9월,15005
2021년,10월,27601
2021년,11월,11447
2021년,12월,3347
2022년,1월,3616
2022년,2월,1863
2022년,3월,1594
2022년,4월,11400
2022년,5월,23676
2022년,6월,12448
2022년,7월,14428
2022년,8월,21801
2022년,9월,20231
2022년,10월,44462
2022년,11월,30359
2022년,12월,31700
